Image name,Ground Truth,Local Maxima,Error
001,414,32,92.27053140096618
002,397,29,92.69521410579345
003,356,28,92.13483146067416
004,297,26,91.24579124579124
005,309,25,91.9093851132686
006,348,30,91.37931034482759
007,377,29,92.3076923076923
008,404,30,92.57425742574257
009,317,28,91.16719242902208
010,240,30,87.5
011,436,25,94.26605504587155
012,251,23,90.83665338645417
013,435,27,93.79310344827586
014,378,33,91.26984126984127
015,356,34,90.4494382022472
016,417,23,94.48441247002398
017,231,28,87.87878787878788
018,242,29,88.01652892561982
019,364,19,94.78021978021978
020,389,26,93.31619537275064
021,304,25,91.77631578947368
022,399,35,91.22807017543859
023,265,28,89.43396226415095
024,341,31,90.9090909090909
025,323,29,91.02167182662538
026,344,35,89.82558139534885
027,422,30,92.89099526066352
028,336,33,90.17857142857143
029,306,32,89.54248366013073
030,228,25,89.03508771929825
031,353,23,93.48441926345609
032,357,30,91.59663865546219
033,339,29,91.44542772861357
034,269,28,89.59107806691449
035,370,26,92.97297297297298
036,122,24,80.32786885245902
037,416,28,93.26923076923077
038,380,29,92.36842105263158
039,248,26,89.51612903225806
040,334,21,93.7125748502994
041,365,26,92.87671232876711
042,201,33,83.5820895522388
043,354,32,90.96045197740112
044,278,33,88.12949640287769
045,394,30,92.38578680203045
046,281,27,90.39145907473309
047,284,32,88.73239436619718
048,408,26,93.62745098039215
049,285,25,91.22807017543859
050,415,25,93.97590361445783
051,391,31,92.07161125319693
052,395,26,93.41772151898734
053,366,31,91.53005464480874
054,329,24,92.70516717325228
055,263,22,91.63498098859316
056,356,22,93.82022471910112
057,413,27,93.46246973365618
058,406,17,95.8128078817734
059,312,23,92.62820512820514
060,430,32,92.55813953488372
061,408,22,94.6078431372549
062,407,23,94.34889434889435
063,276,25,90.94202898550725
064,363,30,91.73553719008265
065,382,24,93.717277486911
066,255,26,89.80392156862746
067,209,23,88.99521531100478
068,312,31,90.06410256410257
069,381,26,93.1758530183727
070,357,27,92.43697478991596
071,429,29,93.24009324009323
072,423,26,93.85342789598108
073,316,25,92.08860759493672
074,358,27,92.45810055865921
075,305,27,91.14754098360656
076,326,25,92.33128834355828
077,432,26,93.98148148148148
078,330,26,92.12121212121212
079,361,33,90.85872576177285
080,370,30,91.8918918918919
001,414,76,81.64251207729468
002,397,75,81.10831234256926
003,356,66,81.46067415730337
004,297,76,74.41077441077442
005,309,93,69.90291262135922
006,348,73,79.02298850574712
007,377,84,77.71883289124668
008,404,76,81.1881188118812
009,317,84,73.50157728706624
010,240,87,63.74999999999999
011,436,80,81.65137614678899
012,251,84,66.53386454183267
013,435,79,81.83908045977012
014,378,90,76.19047619047619
015,356,79,77.80898876404494
016,417,77,81.5347721822542
017,231,79,65.80086580086581
018,242,84,65.28925619834712
019,364,77,78.84615384615384
020,389,84,78.40616966580977
021,304,77,74.67105263157895
022,399,70,82.45614035087719
023,265,82,69.0566037735849
024,341,80,76.53958944281524
025,323,77,76.16099071207431
026,344,85,75.29069767441861
027,422,80,81.04265402843602
028,336,85,74.70238095238095
029,306,81,73.52941176470588
030,228,83,63.59649122807017
031,353,78,77.90368271954674
032,357,84,76.47058823529412
033,339,76,77.5811209439528
034,269,89,66.91449814126395
035,370,78,78.91891891891892
036,122,86,29.508196721311474
037,416,84,79.8076923076923
038,380,83,78.15789473684211
039,248,76,69.35483870967742
040,334,68,79.64071856287424
041,365,87,76.16438356164383
042,201,75,62.68656716417911
043,354,84,76.27118644067797
044,278,71,74.46043165467626
045,394,69,82.48730964467005
046,281,82,70.8185053380783
047,284,77,72.88732394366197
048,408,78,80.88235294117648
049,285,81,71.57894736842105
050,415,78,81.20481927710843
051,391,77,80.30690537084399
052,395,79,80.0
053,366,85,76.775956284153
054,329,77,76.59574468085107
055,263,84,68.06083650190115
056,356,78,78.08988764044943
057,413,82,80.1452784503632
058,406,76,81.2807881773399
059,312,76,75.64102564102564
060,430,83,80.69767441860465
061,408,72,82.35294117647058
062,407,81,80.0982800982801
063,276,80,71.01449275362319
064,363,79,78.23691460055096
065,382,74,80.6282722513089
066,255,76,70.19607843137254
067,209,69,66.98564593301435
068,312,80,74.35897435897436
069,381,81,78.74015748031496
070,357,79,77.87114845938376
071,429,77,82.05128205128204
072,423,75,82.26950354609929
073,316,74,76.58227848101265
074,358,69,80.72625698324022
075,305,85,72.1311475409836
076,326,92,71.77914110429448
077,432,86,80.0925925925926
078,330,78,76.36363636363637
079,361,71,80.33240997229917
080,370,82,77.83783783783784
